0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                    Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
//237      3      0       2       3        1            1            0          "Awakening Soul Lord Armor"             149     1997       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//238      3      0       2       3        1            1            0          "Awakening Soul Fighter Armor"          149     1997       0              88           380        118           0              0           85            0               4      0       0       0       0       0       0       1
//239      3      0       2       3        1            1            0          "Halloween Helm"                        146     2196       0              90           380        200           33             0           0             0               4      3       3       0       0       3       0       0
//240      3      0       2       3        1            1            0          "Halloween Helm"                        146     2196       0              90           380        200           33             0           0             0               4      0       0       3       0       0       3       0
//241      3      0       2       3        1            1            0          "Halloween Helm"                        146     2196       0              90           380        200           33             0           0             0               4      0       0       0       3       0       0       0
//242      3      0       2       3        1            1            0          "Halloween Helm"                        146     2196       0              90           380        200           33             0           0             0               4      0       0       0       0       0       0       3
//243      3      0       2       3        1            1            0          "Silver Heart Knight Armor"             149     2416       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//244      3      0       2       3        1            1            0          "Silver Heart Wizard Armor"             149     2416       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//245      3      0       2       2        1            1            0          "Silver Heart Elf Armor"                149     2416       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//246      3      0       2       2        1            1            0          "Silver Heart Summoner Armor"           149     2416       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//247      3      0       2       3        1            1            0          "Silver Heart Magic Armor"              149     2416       0              90           380        48            17             142         0             0               4      0       0       0       3       0       0       0
//248      3      0       2       3        1            1            0          "Silver Heart Lord Armor"               149     2416       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//249      3      0       2       3        1            1            0          "Silver Heart Fighter Armor"            149     2416       0              88           380        118           0              0           85            0               4      0       0       0       0       0       0       1
end

9
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                    Level   Defense   MagicDefense   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        4      0       2       2        1            1            1          "Bronze Pants"                          15      10        0              34           0          80            20             0           0             0               4      0       1       0       1       1       0       0
1        4      0       2       2        1            1            1          "Dragon Pants"                          55      26        0              68           0          120           30             0           0             0               4      0       1       0       1       0       0       0
2        4      0       2       2        1            1            1          "Pad Pants"                             8       5         0              28           0          30            0              0           0             0               4      1       0       0       1       0       0       0
3        4      0       2       2        1            1            1          "Legendary Pants"                       53      20        0              42           0          40            0              0           0             0               4      1       0       0       1       0       0       0
4        4      0       2       2        1            1            1          "Bone Pants"                            20      10        0              30           0          40            0              0           0             0               4      1       0       0       1       0       0       0
5        4      0       2       2        1            1            1          "Leather Pants"                         8       7         0              30           0          80            0              0           0             0               4      0       1       0       1       1       0       1
6        4      0       2       2        1            1            1          "Scale Pants"                           25      14        0              40           0          110           0              0           0             0               4      0       1       0       1       1       0       1
7        4      0       2       2        1            1            1          "Sphinx Pants"                          34      15        0              36           0          40            0              0           0             0               4      1       0       0       1       0       0       0
8        4      0       2       2        1            1            1          "Brass Pants"                           35      18        0              44           0          100           30             0           0             0               4      0       1       0       1       0       0       1
9        4      0       2       2        1            1            1          "Plate Pants"                           45      22        0              50           0          130           0              0           0             0               4      0       1       0       1       0       0       1
10       4      0       2       2        1            1            1          "Vine Pants"                            8       6         0              22           0          30            60             0           0             0               4      0       0       1       0       0       0       0
11       4      0       2       2        1            1            1          "Silk Pants"                            18      10        0              26           0          30            70             0           0             0               4      0       0       1       0       0       0       0
12       4      0       2       2        1            1            1          "Wind Pants"                            30      14        0              32           0          30            80             0           0             0               4      0       0       1       0       0       0       0
13       4      0       2       2        1            1            1          "Spirit Pants"                          42      18        0              38           0          40            80             0           0             0               4      0       0       1       0       0       0       0
14       4      0       2       2        1            1            0          "Guardian Pants"                        54      25        0              45           0          40            80             0           0             0               4      0       0       1       0       0       0       0
15       4      0       2       2        1            1            0          "Storm Crow Pants"                      74      34        0              80           0          150           70             0           0             0               4      0       0       0       1       0       0       0
16       4      0       2       2        1            1            0          "Black Dragon Pants"                    84      40        0              74           0          170           60             0           0             0               4      0       1       0       0       0       0       0
17       4      0       2       2        1            1            0          "Dark Phoenix Pants"                    96      54        0              80           0          207           63             0           0             0               4      0       2       0       0       0       0       0
18       4      0       2       2        1            1            0          "Grand Soul Pants"                      86      30        0              67           0          59            20             0           0             0               4      2       0       0       0       0       0       0
19       4      0       2       2        1            1            0          "Divine Pants"                          88      39        0              74           0          50            110            0           0             0               4      0       0       2       0       0       0       0
20       4      0       2       2        1            1            0          "Thunder Hawk Pants"                    99      49        0              82           0          150           70             0           0             0               4      0       0       0       1       0       0       0
21       4      0       2       2        1            1            0          "Great Dragon Pants"                    113     65        0              86           0          200           58             0           0             0               4      0       2       0       0       0       0       0
22       4      0       2       2        1            1            0          "Dark Soul Pants"                       117     39        0              75           0          55            18             0           0             0               4      2       0       0       0       0       0       0
23       4      0       2       2        1            1            0          "Hurricane Pants"                       122     61        0              90           0          162           66             0           0             0               4      0       0       0       1       0       0       0
24       4      0       2       2        1            1            0          "Red Spirit Pants"                      100     48        0              80           0          52            115            0           0             0               4      0       0       2       0       0       0       0
25       4      0       2       2        1            1            0          "Light Plate Pants"                     50      21        0              42           0          70            20             0           0             0               4      0       0       0       0       1       0       0
26       4      0       2       2        1            1            0          "Adamantine Pants"                      70      26        0              56           0          77            21             0           0             0               4      0       0       0       0       1       0       0
27       4      0       2       2        1            1            0          "Dark Steel Pants"                      92      31        0              70           0          84            22             0           0             0               4      0       0       0       0       1       0       0
28       4      0       2       2        1            1            0          "Dark Master Pants"                     110     39        0              78           0          80            21             0           0             0               4      0       0       0       0       1       0       0
29       4      0       2       2        1            1            0          "Dragon Knight Pants"                   134     78        0              90           380        170           60             0           0             0               4      0       2       0       0       0       0       0
30       4      0       2       2        1            1            0          "Venom Mist Pants"                      135     55        0              86           380        44            15             0           0             0               4      2       0       0       0       0       0       0
31       4      0       2       2        1            1            0          "Sylphid Ray Pants"                     135     61        0              86           380        38            80             0           0             0               4      0       0       2       0       0       0       0
32       4      0       2       2        1            1            0          "Volcano Pants"                         135     74        0              95           380        145           60             0           0             0               4      0       0       0       1       0       0       0
33       4      0       2       2        1            1            0          "Sunlight Pants"                        140     52        0              82           380        62            16             0           0             0               4      0       0       0       0       1       0       0
34       4      0       2       2        1            1            0          "Ashcrow Pants"                         69      33        0              72           0          160           50             0           0             0               4      0       1       0       0       0       0       0
35       4      0       2       2        1            1            0          "Eclipse Pants"                         69      25        0              54           0          53            12             0           0             0               4      1       0       0       0       0       0       0
36       4      0       2       2        1            1            0          "Iris Pants"                            69      32        0              59           0          50            70             0           0             0               4      0       0       1       0       0       0       0
37       4      0       2       2        1            1            0          "Valiant Pants"                         101     41        0              81           0          155           50             0           0             0               4      0       0       0       1       0       0       0
38       4      0       2       2        1            1            0          "Glorious Pants"                        101     35        0              74           0          80            21             0           0             0               4      0       0       0       0       1       0       0
39       4      0       2       2        1            1            0          "Violent Wind Pants"                    30      16        0              36           0          36            0              0           0             0               4      0       0       0       0       0       1       0
40       4      0       2       2        1            1            0          "Red Wing Pants"                        53      22        0              42           0          35            7              0           0             0               4      0       0       0       0       0       1       0
41       4      0       2       2        1            1            0          "Ancient Pants"                         72      28        0              54           0          49            16             0           0             0               4      0       0       0       0       0       1       0
42       4      0       2       2        1            1            0          "Demonic Pants"                         86      37        0              67           0          60            20             0           0             0               4      0       0       0       0       0       2       0
43       4      0       2       2        1            1            0          "Storm Blitz Pants"                     117     49        0              75           380        57            19             0           0             0               4      0       0       0       0       0       2       0
44       4      0       2       2        1            1            0          "Lilium Pants"                          135     59        0              86           0          84            27             0           0             0               4      0       0       0       0       0       2       0
45       4      0       2       2        1            1            0          "Titan  Pants"                          116     74        0              86           380        222           32             0           0             0               4      0       1       0       0       0       0       0
46       4      0       2       2        1            1            0          "Brave Pants"                           116     58        0              86           380        74            162            0           0             0               4      0       1       0       0       0       0       0
47       4      0       2       2        1            1            0          "Phantom  Pants"                        115     66        0              86           380        212           57             0           0             0               4      0       0       0       1       0       0       0
48       4      0       2       2        1            1            0          "Destroy Pants"                         113     51        0              86           380        62            19             165         0             0               4      0       0       0       1       0       0       0
49       4      0       2       2        1            1            0          "Seraphim Pants"                        116     53        0              86           380        55            197            0           0             0               4      0       0       1       0       0       0       0
50       4      0       2       2        1            1            0          "Divine Pants"                          109     46        0              86           380        32            29             138         0             0               4      0       0       1       0       0       0       0
51       4      0       2       2        1            1            0          "Royal Pants"                           116     46        0              86           380        105           38             0           0             0               4      0       0       0       0       1       0       0
52       4      0       2       2        1            1            0          "Hades Pants"                           114     44        0              86           380        60            15             181         0             0               4      1       0       0       0       0       0       0
53       4      0       2       2        1            1            0          "Succubus Pants"                        147     260       0              90           360        56            19             157         0             0               4      0       0       0       0       0       3       0
54       4      0       2       2        1            1            0          "Lazy Wind Pants"                       147     260       0              90           360        67            151            0           0             0               4      0       3       0       0       0       0       0
55       4      0       2       2        1            1            0          "Dark Devil Pants"                      147     260       0              90           360        45            13             171         0             0               4      3       0       0       0       0       0       0
56       4      0       2       2        1            1            0          "Sticky Pants"                          147     260       0              90           360        48            180            0           0             0               4      0       0       3       0       0       0       0
57       4      0       2       2        1            1            0          "Hell Night Pants"                      147     260       0              90           360        194           52             0           0             0               4      0       0       0       3       0       0       0
58       4      0       2       2        1            1            0          "Ambition Pants"                        147     260       0              90           360        112           22             0           0             0               4      0       0       0       0       3       0       0
59       4      0       2       2        1            1            0          "Sacred Pants"                          62      33        0              52           0          85            0              0           75            0               4      0       0       0       0       0       0       1
60       4      0       2       2        1            1            0          "Storm Hard Pants"                      78      41        0              68           0          100           0              0           90            0               4      0       0       0       0       0       0       1
61       4      0       2       2        1            1            0          "Piercing Pants"                        95      49        0              82           0          115           0              0           100           0               4      0       0       0       0       0       0       1
62       4      0       2       2        0            0            0          "Lucky Scale Pants"                     25      18        0              255          1          0             0              0           0             0               4      0       1       0       1       1       0       1
63       4      0       2       2        0            0            0          "Lucky Silk Pants"                      18      13        0              255          1          0             0              0           0             0               4      0       0       1       0       0       0       0
64       4      0       2       2        0            0            0          "Lucky Sphinx Pants"                    34      19        0              255          1          0             0              0           0             0               4      1       0       0       0       0       0       0
65       4      0       2       2        0            0            0          "Lucky Violent Wind Pants"              30      20        0              255          1          0             0              0           0             0               4      0       0       0       0       0       1       0
66       4      0       2       2        0            0            0          "Lucky Dark Soul Pants"                 70      160        0              255          150        0             0              0           0             0               4      0       0       0       0       1       0       0
67       4      0       2       2        0            0            0          "Lucky Dragon Pants"                    55      160        0              255          150        0             0              0           0             0               4      0       1       0       0       0       0       0
68       4      0       2       2        0            0            0          "Lucky Guardian Pants"                  54      160        0              255          150        0             0              0           0             0               4      0       0       1       0       0       0       0
69       4      0       2       2        0            0            0          "Lucky Legendary Pants"                 53      160        0              255          150        0             0              0           0             0               4      1       0       0       0       0       0       0
70       4      0       2       2        0            0            0          "Lucky Red Wing Pants"                  53      160        0              255          150        0             0              0           0             0               4      0       0       0       0       0       1       0
71       4      0       2       2        0            0            0          "Lucky Atlans Pants"                    74      160        0              255          150        0             0              0           0             0               4      0       0       0       1       0       0       0
72       4      0       2       2        0            0            0          "Lucky Storm Hard Pants"                78      33        0              255          150        0             0              0           0             0               4      0       0       0       0       0       0       1
73       4      0       2       2        1            1            0          "Phoenix Soul Pants"                    134     68        0              88           380        97            0              0           85            0               4      0       0       0       0       0       0       1
77       4      0       2       2        1            1            0          "Bloody Dragon Pants"                   147     260       0              88           380        108           0              0           85            0               4      0       0       0       0       0       0       1
//98       4      0       2       2        1            1            0          "Bloodangel Knight Pants"               145     1500       0              90           360        200           33             0           0             0               4      0       3       0       0       0       0       0
//99       4      0       2       2        1            1            0          "Bloodangel Wizard Pants"               145     1500       0              90           360        45            13             171         0             0               4      3       0       0       0       0       0       0
//100      4      0       2       2        1            1            0          "Bloodangel Elf Pants"                  145     1500       0              90           360        14            31             127         0             0               4      0       0       3       0       0       0       0
//101      4      0       2       2        1            1            0          "Bloodangel Summoner Pants"             145     1500       0              90           360        56            19             157         0             0               4      0       0       0       0       0       3       0
//102      4      0       2       2        1            1            0          "Bloodangel Magic Pants"                145     1500       0              90           360        48            17             142         0             0               4      0       0       0       3       0       0       0
//103      4      0       2       2        1            1            0          "Bloodangel Lord Pants"                 145     1500       0              90           360        112           22             0           0             0               4      0       0       0       0       3       0       0
//104      4      0       2       2        1            1            0          "Bloodangel Fighter Pants"              134     1500       0              88           360        108           0              0           85            0               4      0       0       0       0       0       0       1
//138      4      0       2       2        1            1            0          "Darkangel Knight Pants"                145     300       0              90           360        200           33             0           0             0               4      0       3       0       0       0       0       0
//139      4      0       2       2        1            1            0          "Darkangel Wizard Pants"                145     300       0              90           360        45            13             171         0             0               4      3       0       0       0       0       0       0
//140      4      0       2       2        1            1            0          "Darkangel Elf Pants"                   145     300       0              90           360        14            31             127         0             0               4      0       0       3       0       0       0       0
//141      4      0       2       2        1            1            0          "Darkangel Summoner Pants"              145     300       0              90           360        56            19             157         0             0               4      0       0       0       0       0       3       0
//142      4      0       2       2        1            1            0          "Darkangel Magic Pants"                 145     300       0              90           360        48            17             142         0             0               4      0       0       0       3       0       0       0
//143      4      0       2       2        1            1            0          "Darkangel Lord Pants"                  145     300       0              90           360        112           22             0           0             0               4      0       0       0       0       3       0       0
//144      4      0       2       2        1            1            0          "Darkangel Fighter Pants"               134     300       0              88           360        108           0              0           85            0               4      0       0       0       0       0       0       1
//145      4      0       2       2        1            1            0          "Holyangel Knight Pants"                145     1650       0              90           370        200           33             0           0             0               4      0       3       0       0       0       0       0
//146      4      0       2       2        1            1            0          "Holyangel Wizard Pants"                145     1650       0              90           370        45            13             171         0             0               4      3       0       0       0       0       0       0
//147      4      0       2       2        1            1            0          "Holyangel Elf Pants"                   145     1650       0              90           370        14            31             127         0             0               4      0       0       3       0       0       0       0
//148      4      0       2       2        1            1            0          "Holyangel Summoner Pants"              145     1650       0              90           370        56            19             157         0             0               4      0       0       0       0       0       3       0
//149      4      0       2       2        1            1            0          "Holyangel Magic Pants"                 145     1650       0              90           370        48            17             142         0             0               4      0       0       0       3       0       0       0
//150      4      0       2       2        1            1            0          "Holyangel Lord Pants"                  145     1650       0              90           370        112           22             0           0             0               4      0       0       0       0       3       0       0
//151      4      0       2       2        1            1            0          "Holyangel Fighter Pants"               144     1650       0              88           370        108           0              0           85            0               4      0       0       0       0       0       0       1
//152      4      0       2       2        1            1            0          "Awakening Soul Knight Pants"           145     1815       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//153      4      0       2       2        1            1            0          "Awakening Soul Wizard Pants"           145     1815       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//154      4      0       2       2        1            1            0          "Awakening Soul Elf Pants"              145     1815       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//155      4      0       2       2        1            1            0          "Awakening Soul Summoner Pants"         145     1815       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//156      4      0       2       2        1            1            0          "Awakening Soul Magic Pants"            145     1815       0              90           380        48            17             142         0             0               4      0       0       0       3       0       0       0
//157      4      0       2       2        1            1            0          "Awakening Soul Lord Pants"             145     1815       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//158      4      0       2       2        1            1            0          "Awakening Soul Fighter Pants"          144     1815       0              88           380        108           0              0           85            0               4      0       0       0       0       0       0       1
//159      4      0       2       2        1            1            0          "Blue Eye Knight Pants"                 145     2196       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//160      4      0       2       2        1            1            0          "Blue Eye Wizard Pants"                 145     2196       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//161      4      0       2       2        1            1            0          "Blue Eye Elf Pants"                    145     2196       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//162      4      0       2       2        1            1            0          "Blue Eye Summoner Pants"               145     2196       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//163      4      0       2       2        1            1            0          "Blue Eye Magic Pants"                  145     2196       0              90           380        48            17             142         0             0               4      0       0       0       3       0       0       0
//164      4      0       2       2        1            1            0          "Blue Eye Lord Pants"                   145     2196       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//165      4      0       2       2        1            1            0          "Blue Eye Fighter Pants"                144     2196       0              88           380        108           0              0           85            0               4      0       0       0       0       0       0       1
166      4      0       2       2        1            1            0          "Tigris Pants"                          144     88        0              88           380        108           0              0           85            0               4      0       0       0       0       0       0       1
167      4      0       2       2        1            1            0          "Crimson Skull Pants"                   144     98        0              88           380        108           0              0           85            0               4      0       0       0       0       0       0       1
//168      4      0       2       2        1            1            0          "Silver Heart Knight Pants"             147     2416       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//169      4      0       2       2        1            1            0          "Silver Heart Wizard Pants"             147     2416       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//170      4      0       2       2        1            1            0          "Silver Heart Elf Pants"                147     2416       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//171      4      0       2       2        1            1            0          "Silver Heart Summoner Pants"           147     2416       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//172      4      0       2       2        1            1            0          "Silver Heart Magic Pants"              147     2416       0              90           380        48            17             142         0             0               4      0       0       0       3       0       0       0
173      4      0       2       2        1            1            0          "Silver Heart Lord Pants"               147     2416       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//174      4      0       2       2        1            1            0          "Silver Heart Fighter Pants"            147     2416       0              88           380        108           0              0           85            0               4      0       0       0       0       0       0       1
//110      *      0       2       2        1            1            0          "Sealed Bloodangel Pants"               1       0         0              1            0          0             0              0           0             0               4      0       3       0       0       0       0       0
//111      *      0       2       2        1            1            0          "Sealed Bloodangel Pants"               1       0         0              1            0          0             0              0           0             0               4      3       0       0       0       0       0       0
//112      *      0       2       2        1            1            0          "Sealed Bloodangel Pants"               1       0         0              1            0          0             0              0           0             0               4      0       0       3       0       0       0       0
//113      *      0       2       2        1            1            0          "Sealed Bloodangel Pants"               1       0         0              1            0          0             0              0           0             0               4      0       0       0       0       0       3       0
//114      *      0       2       2        1            1            0          "Sealed Bloodangel Pants"               1       0         0              1            0          0             0              0           0             0               4      0       0       0       3       0       0       0
//115      *      0       2       2        1            1            0          "Sealed Bloodangel Pants"               1       0         0              1            0          0             0              0           0             0               4      0       0       0       0       3       0       0
//116      *      0       2       2        1            1            0          "Sealed Bloodangel Pants"               1       0         0              1            0          0             0              0           0             0               4      0       0       0       0       0       0       1
//175      4      0       2       2        1            1            0          "Manticore Knight Pants"                147     2657       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//176      4      0       2       2        1            1            0          "Manticore Wizard Pants"                147     2657       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//177      4      0       2       2        1            1            0          "Manticore Elf Pants"                   147     2657       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//178      4      0       2       2        1            1            0          "Manticore Summoner Pants"              147     2657       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//179      4      0       2       2        1            1            0          "Manticore Magic Pants"                 147     2657       0              90           380        48            17             142         0             0               4      0       0       0       3       0       0       0
//180      4      0       2       2        1            1            0          "Manticore Lord Pants"                  147     2657       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//181      4      0       2       2        1            1            0          "Manticore Fighter Pants"               147     2657       0              88           380        108           0              0           85            0               4      0       0       0       0       0       0       1
//182      4      0       2       2        1            1            0          "Robust Pants"                          20      16        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
